FoodID,food_name
1,abiyuch raw
2,acerola juice raw
3,acerola west indian cherry raw
4,acorn stew apache
5,agave cooked southwest
6,agave dried southwest
7,agave raw southwest
8,agutuk fish with shortening alaskan ice cream alaska native
9,agutuk fish berry with seal oil alaskan ice cream alaska native
10,agutuk meat caribou alaskan ice cream alaska native
11,alcoholic beverage beer light
12,alcoholic beverage beer light bud light
13,alcoholic beverage beer light budweiser select
14,alcoholic beverage beer light higher alcohol
15,alcoholic beverage beer light low carb
16,alcoholic beverage beer regular all
17,alcoholic beverage beer regular budweiser
18,alcoholic beverage creme de menthe 72 proof
19,alcoholic beverage daiquiri canned
20,alcoholic beverage daiquiri prepared from recipe
21,alcoholic beverage distilled all gin rum vodka whiskey 100 proof
22,alcoholic beverage distilled all gin rum vodka whiskey 80 proof
23,alcoholic beverage distilled all gin rum vodka whiskey 86 proof
24,alcoholic beverage distilled all gin rum vodka whiskey 90 proof
25,alcoholic beverage distilled all gin rum vodka whiskey 94 proof
26,alcoholic beverage distilled rum 80 proof
27,alcoholic beverage distilled vodka 80 proof
28,alcoholic beverage distilled whiskey 86 proof
29,alcoholic beverage liqueur coffee with cream 34 proof
30,alcoholic beverage liqueur coffee 53 proof
31,alcoholic beverage liqueur coffee 63 proof
32,alcoholic beverage malt beer hard lemonade
33,alcoholic beverage pina colada canned
34,alcoholic beverage pina colada prepared from recipe
35,alcoholic beverage rice sake
36,alcoholic beverage tequila sunrise canned
37,alcoholic beverage whiskey sour
38,alcoholic beverage whiskey sour canned
39,alcoholic beverage whiskey sour prepared from item 14028
40,alcoholic beverage whiskey sour prepared with water whiskey and powder mix
41,alcoholic beverage wine cooking
42,alcoholic beverage wine dessert dry
43,alcoholic beverage wine dessert sweet
44,alcoholic beverage wine light
45,alcoholic beverage wine table all
46,alcoholic beverage wine table red
47,alcoholic beverage wine table red barbera
48,alcoholic beverage wine table red burgundy
49,alcoholic beverage wine table red cabernet franc
50,alcoholic beverage wine table red cabernet sauvignon
51,alcoholic beverage wine table red carignane
52,alcoholic beverage wine table red claret
53,alcoholic beverage wine table red gamay
54,alcoholic beverage wine table red lemberger
55,alcoholic beverage wine table red merlot
56,alcoholic beverage wine table red mouvedre
57,alcoholic beverage wine table red petite sirah
58,alcoholic beverage wine table red pinot noir
59,alcoholic beverage wine table red sangiovese
60,alcoholic beverage wine table red syrah
61,alcoholic beverage wine table red zinfandel
62,alcoholic beverage wine table white
63,alcoholic beverage wine table white chardonnay
64,alcoholic beverage wine table white chenin blanc
65,alcoholic beverage wine table white fume blanc
66,alcoholic beverage wine table white gewurztraminer
67,alcoholic beverage wine table white late harvest
68,alcoholic beverage wine table white late harvest gewurztraminer
69,alcoholic beverage wine table white muller thurgau
70,alcoholic beverage wine table white muscat
71,alcoholic beverage wine table white pinot blanc
72,alcoholic beverage wine table white pinot gris grigio
73,alcoholic beverage wine table white riesling
74,alcoholic beverage wine table white sauvignon blanc
75,alcoholic beverage wine table white semillon
76,alcoholic beverages beer higher alcohol
77,alcoholic beverages wine rose
78,alfalfa seeds sprouted raw
79,almond butter creamy
80,almond milk unsweetened plain refrigerated
81,almond milk unsweetened plain shelf stable
82,amaranth grain cooked
83,amaranth grain uncooked
84,amaranth leaves cooked boiled drained with salt
85,amaranth leaves cooked boiled drained without salt
86,amaranth leaves raw
87,anchovies canned in olive oil with salt drained
88,andreas gluten free soft dinner roll
89,animal fat bacon grease
90,apple juice canned or bottled unsweetened with added ascorbic acid
91,apple juice canned or bottled unsweetened with added ascorbic acid calcium and potassium
92,apple juice canned or bottled unsweetened without added ascorbic acid
