fdc_id,FoodID,CategoryID,BrandID,DataTypeID,FoodTypeID,HealthScoreID,calories,carbs_g,fat_g,protein_g,sugar_g,fiber_g,sodium_mg,calcium_mg,iron_mg,saturated_fat_g,vitamin_c_mg,cholesterol_mg
167782,1,1,1,1,1,1,69.0,17.6,0.1,1.5,8.55,5.3,20.0,8.0,1.61,0.014,54.1,0.0
171687,2,1,1,1,1,2,23.0,4.8,0.3,0.4,4.5,0.3,3.0,10.0,0.5,0.068,1600.0,0.0
171686,3,1,1,1,1,2,32.0,7.69,0.3,0.4,10.4,1.1,7.0,12.0,0.2,0.068,1680.0,0.0
168061,4,2,1,1,2,3,95.0,9.22,3.47,6.81,0.34,0.7,130.0,14.0,1.0,1.28,0.0,20.0
168992,5,2,1,1,2,3,134.6,32.0,0.29,0.99,20.9,10.6,13.0,460.0,3.55,1.33,0.3,0.0
168993,6,2,1,1,2,3,341.0,82.0,0.69,1.71,50.7,15.6,14.0,770.0,3.64,1.33,0.3,0.0
169814,7,2,1,1,2,4,68.0,16.2,0.15,0.52,2.58,6.6,14.0,417.0,1.8,1.33,4.0,0.0
169823,8,2,1,1,3,5,469.5,10.5,43.5,9.0,0.0,0.0,24.0,21.0,0.2,8.6,0.0,26.0
168976,9,2,1,1,3,5,353.0,13.4,31.8,3.4,0.0,0.5,21.0,8.0,0.3,7.7,2.9,10.0
168977,10,2,1,1,2,3,258.0,0.9,18.6,21.7,5.56,1.3,95.0,16.0,4.55,5.1,2.2,89.0
168749,11,3,1,1,4,3,39.0,1.64,0.0,0.24,0.09,0.0,4.0,4.0,0.03,0.0,0.0,0.0
169572,12,3,1,1,4,3,29.0,1.3,0.0,0.25,4.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0
168748,13,3,1,1,4,3,39.0,0.87,0.0,0.2,4.7,0.0,3.0,4.0,0.0,0.0,0.0,0.0
174145,14,3,1,1,4,3,39.0,0.77,0.0,0.25,0.09,0.0,4.0,4.0,0.03,0.0,0.0,0.0
169575,15,3,1,1,4,3,39.0,0.73,0.0,0.17,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
168746,16,3,1,1,4,3,43.0,3.55,0.0,0.46,0.0,0.0,4.0,4.0,0.02,0.0,0.0,0.0
168747,17,3,1,1,4,3,39.0,2.97,0.0,0.36,4.7,0.0,3.0,4.0,0.0,0.0,0.0,0.0
173168,18,3,1,1,4,5,371.0,41.6,0.3,0.0,41.6,0.0,5.0,0.0,0.07,0.014,0.0,0.0
169573,19,3,1,1,4,3,125.0,15.7,0.0,0.0,4.7,0.0,40.0,0.0,0.01,0.0,1.3,0.0
169574,20,3,1,1,4,3,39.0,6.94,0.06,0.06,5.58,0.1,5.0,3.0,0.09,0.006,1.6,0.0
173664,21,3,1,1,4,3,39.0,0.0,0.0,0.0,4.7,0.0,1.0,0.0,0.04,0.0,0.0,0.0
174815,22,3,1,1,4,3,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0
171919,23,3,1,1,4,3,39.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0
171920,24,3,1,1,4,3,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0
173663,25,3,1,1,4,3,39.0,0.0,0.0,0.0,4.7,0.0,1.0,0.0,0.04,0.0,0.0,0.0
174817,26,3,1,1,4,3,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,0.0
174818,27,3,1,1,4,3,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0
174819,28,3,1,1,4,3,39.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0
175098,29,3,1,1,4,6,39.0,20.9,15.7,2.8,19.8,0.0,92.0,16.0,0.13,9.66,0.2,58.0
175097,30,3,1,1,4,5,39.0,46.8,0.3,0.1,38.3,0.0,8.0,1.0,0.06,0.106,0.0,0.0
173665,31,3,1,1,4,5,308.0,32.2,0.3,0.1,32.2,0.0,8.0,1.0,0.06,0.106,0.0,0.0
174141,32,3,1,1,4,3,68.0,10.1,0.0,0.0,9.77,0.0,5.0,4.0,0.03,0.0,2.8,0.0
168750,33,3,1,1,4,5,237.0,27.6,7.6,0.6,4.7,0.1,71.0,1.0,0.03,6.57,1.5,0.0
168752,34,3,1,1,4,5,39.0,22.7,1.88,0.42,22.3,0.3,6.0,8.0,0.21,1.64,4.9,0.0
167723,35,3,1,1,5,3,300.0,5.0,0.0,0.5,0.0,0.0,2.0,5.0,0.1,0.0,0.0,0.0
168753,36,3,1,1,4,2,110.0,11.3,0.1,0.3,4.7,0.0,57.0,0.0,0.02,0.0,19.3,0.0
173662,37,3,1,1,4,3,149.0,13.2,0.03,0.0,4.7,0.0,20.0,1.0,0.08,0.005,1.6,0.0
174810,38,3,1,1,4,3,119.0,13.4,0.0,0.0,4.7,0.1,44.0,0.0,0.01,0.0,1.6,0.0
174812,39,3,1,1,4,3,153.0,12.8,0.06,0.06,12.8,0.0,61.0,1.0,0.08,0.005,1.6,0.0
173164,40,3,1,1,4,5,164.0,15.8,0.02,0.1,15.8,0.0,47.0,46.0,0.08,0.003,0.4,0.0
169070,41,3,1,1,4,5,50.0,6.3,0.0,0.5,1.55,0.0,626.0,9.0,0.4,0.0,0.0,0.0
175112,42,3,1,1,4,3,152.0,11.7,0.0,0.2,1.09,0.0,9.0,8.0,0.24,0.0,0.0,0.0
173176,43,3,1,1,4,3,160.0,13.7,0.0,0.2,7.78,0.0,9.0,8.0,0.24,0.0,0.0,0.0
169071,44,3,1,1,4,3,39.0,1.17,0.0,0.07,1.15,0.0,7.0,9.0,0.4,0.0,0.0,0.0
173185,45,3,1,1,4,3,39.0,2.72,0.0,0.07,0.79,0.0,5.0,8.0,0.37,0.0,0.0,0.0
173190,46,3,1,1,4,3,39.0,2.61,0.0,0.07,0.62,0.0,4.0,8.0,0.46,0.0,0.0,0.0
173191,47,3,1,1,4,3,39.0,2.79,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173208,48,3,1,1,4,3,39.0,3.69,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174834,49,3,1,1,4,3,39.0,2.45,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174833,50,3,1,1,4,3,39.0,2.6,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174840,51,3,1,1,4,3,39.0,2.4,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173194,52,3,1,1,4,3,39.0,3.01,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
171872,53,3,1,1,4,3,39.0,2.38,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174838,54,3,1,1,4,3,39.0,2.46,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
171925,55,3,1,1,4,3,39.0,2.51,0.0,0.07,0.62,0.0,4.0,8.0,0.46,0.0,0.0,0.0
174109,56,3,1,1,4,3,39.0,2.64,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173193,57,3,1,1,4,3,39.0,2.68,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174835,58,3,1,1,4,3,39.0,2.31,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174839,59,3,1,1,4,3,39.0,2.62,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174836,60,3,1,1,4,3,39.0,2.58,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173192,61,3,1,1,4,3,39.0,2.86,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174837,62,3,1,1,4,3,39.0,2.6,0.0,0.07,0.96,0.0,5.0,9.0,0.27,0.0,0.0,0.0
174110,63,3,1,1,4,3,39.0,2.16,0.0,0.07,0.96,0.0,5.0,9.0,0.27,0.0,0.0,0.0
173195,64,3,1,1,4,3,39.0,3.31,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173196,65,3,1,1,4,3,39.0,2.27,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174843,66,3,1,1,4,3,39.0,2.6,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173202,67,3,1,1,4,3,39.0,13.4,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174844,68,3,1,1,4,3,108.0,11.4,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173198,69,3,1,1,4,3,39.0,3.48,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174849,70,3,1,1,4,3,39.0,5.23,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174848,71,3,1,1,4,3,39.0,1.94,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174841,72,3,1,1,4,3,39.0,2.06,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173200,73,3,1,1,4,3,39.0,3.74,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
173201,74,3,1,1,4,3,39.0,2.05,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
174845,75,3,1,1,4,3,39.0,3.12,0.0,0.07,4.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0
171906,76,3,1,1,4,3,39.0,0.27,0.0,0.9,0.0,0.0,4.0,8.0,0.03,0.0,0.0,0.0
171908,77,3,1,1,4,3,39.0,3.8,0.0,0.36,3.8,0.0,5.0,10.0,0.2,0.0,0.0,0.0
168384,78,4,1,1,6,3,23.0,2.1,0.69,3.99,0.2,1.9,6.0,32.0,0.96,0.069,8.2,0.0
2262074,79,5,1,2,2,7,603.0,21.2,53.0,20.8,5.56,9.72,0.996,264.0,4.11,4.25,0.0,0.0
2257045,80,3,1,2,7,3,19.3,0.671,1.56,0.656,4.3,0.0,59.2,158.0,0.125,3.52,0.0,14.0
1999631,81,3,1,2,7,3,14.6,0.337,1.22,0.555,0.0,0.0,59.6,173.0,0.29,0.104,0.0,14.0
170683,82,6,1,1,5,3,102.0,18.7,1.58,3.8,3.2,2.1,6.0,47.0,2.1,0.0,0.0,0.0
170682,83,6,1,1,5,7,371.0,65.2,7.02,13.6,1.69,6.7,4.0,159.0,7.61,1.46,4.2,0.0
168492,84,4,1,1,6,2,21.0,4.11,0.18,2.11,1.6,2.1,257.0,209.0,2.26,0.05,41.1,0.0
169202,85,4,1,1,6,2,21.0,4.11,0.18,2.11,1.6,2.1,21.0,209.0,2.26,0.05,41.1,0.0
168385,86,4,1,1,6,2,97.0,4.02,0.33,2.46,1.6,2.1,20.0,215.0,2.32,0.091,43.3,0.0
2747652,87,7,1,2,2,3,206.0,2.41,9.85,26.9,5.56,1.3,5400.0,240.0,2.69,1.33,0.0,0.0
167590,88,8,1,1,2,5,257.2,40.2,8.2,5.65,2.98,2.9,544.0,41.0,0.89,1.33,0.0,0.0
172345,89,9,1,1,2,5,895.5,0.0,99.5,0.0,0.0,0.0,150.0,0.0,0.0,39.0,0.0,95.0
167771,90,1,1,1,1,2,46.0,11.3,0.13,0.1,9.62,0.2,4.0,8.0,0.12,0.022,38.5,0.0
167800,91,1,1,1,1,2,48.0,11.5,0.17,0.12,9.47,0.3,5.0,70.0,0.13,0.029,30.3,0.0
173933,92,1,1,1,1,3,46.8,11.3,0.13,0.1,9.62,0.2,4.0,8.0,0.12,0.022,0.9,0.0
