AllergenTypeID,allergens
1,unknown
2,"banana, milk"
3,milk
4,"celery, gluten"
5,"eggs, gluten, milk, soybeans"
6,"milk, nuts, sesame-seeds, soybeans"
7,"gluten, milk, nuts, soybeans"
8,"gluten, milk, soybeans"
9,"eggs, gluten, lupin, milk, sesame-seeds, soybeans"
10,"gluten, soybeans"
11,nuts
12,"eggs, mustard, soybeans, sulphites, sulphur-dioxide-and-sulphites"
13,gluten
14,soybeans
15,"milk, nuts, soybeans"
16,"milk, nuts"
17,"gluten, milk"
18,"gluten, haferbasis"
19,"gluten, lupin, milk, soybeans"
20,"milk, soybeans"
21,fish
22,"nuts, peanuts, sesame-seeds"
23,rice
24,"gluten, lupin, milk, sesame-seeds, soybeans"
25,"gluten, nuts"
26,"eggs, milk, nuts"
27,"avoine, gluten, nuts"
28,celery
29,"eggs, gluten, sulphites, sulphur-dioxide-and-sulphites"
30,"celery, milk, nuts, soybeans"
31,"gluten, milk, nuts"
32,"nuts, peanuts"
33,"avoine, gluten"
34,"eggs, gluten, milk"
35,"mustard, soybeans"
36,eggs
37,"nuts, soybeans"
38,"fruits-à-coque, milk, nuts, soybeans"
39,"nuts, sulphur-dioxide-and-sulphites"
40,"eggs, mustard"
41,"sulphites, sulphur-dioxide-and-sulphites"
42,"eggs, gluten"
43,"mustard, sulphites, sulphur-dioxide-and-sulphites"
44,"gluten, milk, nuts, peanuts, soybeans"
45,sesame-seeds
46,"celery, milk, mustard, soybeans, sulphur-dioxide-and-sulphites"
47,"gluten, soybeans, sulphur-dioxide-and-sulphites"
48,"avena, gluten, soybeans"
49,"sojabasis, soybeans"
50,"milk, nuts, peanuts, soybeans"
51,"gluten, sesame-seeds"
52,"gluten, mustard, soybeans"
53,"celery, eggs"
54,"gluten, isento-de-gluten, milk"
55,"gluten, milk, mustard, sesame-seeds"
56,"eggs, gluten, milk, soybeans, sulphites, sulphur-dioxide-and-sulphites"
57,"gluten, hazlenuts, nuts"
58,"cacahuetes, noisettes, nuts, peanuts"
59,"gluten, milk, soybeans, sulphur-dioxide-and-sulphites"
60,"gluten, sesame-seeds, soybeans"
61,sulphites
62,"eggs, gluten, milk, sesame-seeds, soybeans"
63,"avoine, gluten, nuts, soybeans"
64,"fish, soybeans"
65,"eggs, gluten, milk, nuts, soybeans"
66,"gluten, milk, sesame-seeds"
67,"crème, milk, nuts"
68,"metabisulphite, mustard, sulphites"
69,"gluten, orange"
70,"eggs, milk"
71,"eggs, gluten, sesame-seeds, soybeans"
72,"nuts, sesame-seeds"
73,"gluten, sulphites, sulphur-dioxide-and-sulphites"
74,"gluten, nuts, soybeans"
75,"avoine, eggs, gluten, milk, sarrasin, soybeans"
76,"lupin, sesame-seeds, soybeans"
77,"milk, palm, soybeans"
78,"gluten, laktose, milch, milcheiweiss, milk, weizenstarke"
79,"avoine, gluten, milk, soybeans"
80,"eggs, milk, nuts, soybeans"
81,"gluten, milk, nuts, peanuts"
82,apple
83,"eggs, gluten, lupin, milk, nuts, sesame-seeds, soybeans"
84,"gluten, sulphur-dioxide-and-sulphites"
85,"celery, nuts"
86,"eggs, gluten, milk, nuts, peanuts, soybeans"
87,"eggs, gluten, milk, mustard, sesame-seeds, soybeans"
88,sulphur-dioxide-and-sulphites
89,"gluten, nuts, rice"
90,"fermentos-lacticos, milk"
91,"eggs, gluten, milk, nuts, soybeans, sulphites, sulphur-dioxide-and-sulphites"
92,"amendoins-e-leite, frutos-de-casca-rija, gluten, pode-conter-vestigios-de-outros-cereais-com-gluten"
93,orange
94,"eggs, gluten, lupin, milk, soybeans"
95,"fi:kuoritut-soijapavut, milk, nuts, soybeans"
96,"chicken, milk"
97,"gluten, nuts, peanuts"
98,"gluten, mustard"
