ProductID,NutriScoreID,NovaGroupID,AllergenTypeID,AllergenCatID,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish
1,1,1,1,1,0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,0.0,False,False,False,False,False,False
2,2,2,2,2,97.0,3.0,5.1,9.4,3.6,0.0,8.0,0.14,0.056,False,True,False,False,False,False
1,1,3,1,1,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.065,0.026,False,False,False,False,False,False
3,1,3,1,1,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.065,0.026,False,False,False,False,False,False
4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.000203,False,False,False,False,False,False
5,3,2,3,3,45.0,1.5,1.0,4.9,0.0,0.0,3.1,0.225,0.09,False,True,False,False,False,False
6,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.0011,False,False,False,False,False,False
7,1,2,3,2,80.6,12.0,0.0,6.1,0.0,0.0,7.3,0.0,0.0,False,True,False,False,False,False
8,3,3,3,4,58.0,3.0,0.0,4.8,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False
9,4,4,3,2,235.0,21.0,15.0,3.5,0.0,0.0,8.0,0.46,0.184,False,True,False,False,False,False
10,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
11,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0065,0.0026,False,False,False,False,False,False
12,5,4,4,5,260.0,0.5,0.1,30.0,1.2,1.8,34.0,10.8,4.32,True,False,False,False,False,False
13,1,3,3,2,101.0,6.0,0.0,4.2,0.0,0.0,7.6,0.0,0.0,False,True,False,False,False,False
14,3,3,3,4,45.0,1.5,1.0,4.8,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False
15,4,1,3,6,675.0,75.0,34.0,0.2,0.0,0.0,0.1,0.5,0.2,False,False,False,False,False,False
16,6,4,1,7,13.3,0.0,0.0,3.3,3.3,0.2,0.0,0.0,0.0,False,False,False,False,False,False
17,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False
18,5,4,5,8,465.0,17.5,5.5,70.0,31.5,4.0,6.5,0.5,0.2,True,True,False,True,True,False
19,5,2,3,9,592.0,55.0,30.0,14.0,7.0,0.0,10.0,0.03,0.012,False,False,False,False,False,False
20,5,2,6,9,561.6634799,41.0,24.0,35.0,30.0,4.1,9.5,0.05,0.02,False,False,False,False,False,False
21,1,1,1,7,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.0784,0.0314,False,False,False,False,False,False
22,5,4,7,10,539.0,30.9,10.6,57.5,56.3,2.4,6.3,0.107,0.0428,False,True,True,True,False,False
23,5,4,1,11,39.0,0.0,0.0,9.0,7.0,0.2,0.0,0.126,0.0504,False,False,False,False,False,False
24,5,2,8,12,504.0,22.2,10.9,71.7,40.0,0.435,4.35,0.217,0.087,True,True,False,True,False,False
25,7,4,1,13,183.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
26,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False
27,6,4,9,12,467.0,18.0,2.0,64.0,17.0,4.6,10.0,0.38,0.152,True,False,False,False,False,False
28,2,2,1,14,250.0,0.3,0.9,61.33,63.0,4.8,0.5,0.4669999999999999,0.187,False,False,False,False,False,False
29,1,1,1,1,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.0,0.0,False,False,False,False,False,False
30,3,2,3,2,78.5,3.3,2.4,8.0,0.0,0.0,4.2,0.0,0.0,False,True,False,False,False,False
31,5,4,10,12,146.0,0.0,0.0,5.5,0.0,3.2,2.1,220.0,88.0,True,False,False,True,False,False
32,5,2,11,9,578.3938815,46.0,27.0,22.0,15.0,0.0,12.5,0.01,0.004,False,False,False,False,False,False
33,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.12,0.048,False,False,False,False,False,False
34,4,4,12,15,592.0,65.21,9.8,0.22,0.05,0.7,1.12,1.75,0.7,False,False,False,True,True,False
35,3,1,13,16,230.0,0.8,0.1,44.1,2.4,2.9,10.1,0.905,0.362,True,False,False,False,False,False
36,3,4,11,11,15.0,1.1,0.1,0.0,0.0,0.3,0.5,0.15,0.06,False,False,True,False,False,False
37,1,3,1,1,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.002,0.0008,False,False,False,False,False,False
38,4,4,14,9,584.0,48.0,28.0,36.0,12.0,16.0,12.0,0.0,0.0,False,False,False,True,False,False
39,1,3,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00476,0.001904,False,False,False,False,False,False
40,5,4,7,18,539.0,30.9,10.6,57.5,56.3,0.0,6.3,0.107,0.0428,False,True,True,True,False,False
41,3,2,13,16,237.0,0.7,0.1,46.4,2.1,3.0,9.7,0.7875,0.315,True,False,False,False,False,False
42,1,3,11,19,673.0,69.0,6.67,3.67,3.0,6.67,15.7,0.0333,0.0133,False,False,True,False,False,False
43,1,2,13,16,236.0,2.69,0.414,39.9,1.45,4.76,10.6,0.812,0.325,True,False,False,False,False,False
44,4,4,3,2,270.0,21.0,12.0,6.0,6.0,0.0,9.0,1.5,0.6,False,True,False,False,False,False
45,1,3,11,19,621.0,53.3,4.3,4.8,4.8,12.1,24.5,0.01,0.004,False,False,True,False,False,False
46,7,5,1,20,144.0,0.0,0.0,0.0,0.0,0.0,1.4,99.0,39.6,False,False,False,False,False,False
47,6,1,1,21,108.0,0.08,0.0,25.7,22.36,0.0,1.12,0.00555,0.00222,False,False,False,False,False,False
48,5,1,1,22,400.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
49,3,1,11,19,600.0,47.6,9.0,19.8,6.5,5.2,20.5,0.02,0.008,False,False,True,False,False,False
50,5,4,13,12,440.0,10.8235,5.2941,76.4706,24.2353,2.3529,7.6471,0.882353,0.3529412,True,False,False,False,False,False
51,6,1,3,2,95.5,2.7,1.8,14.0,8.0,2.0,3.4,0.0,0.0,False,False,False,False,False,False
14,2,3,13,4,58.0,3.0,2.0,4.8,3.6,0.0,3.0,0.14,0.056,False,False,False,False,False,False
52,5,4,1,7,42.0,0.0,0.0,10.6,10.6,0.2,0.0,0.0,0.0,False,False,False,False,False,False
53,1,4,3,2,109.0,3.0,0.4,16.9,2.0,0.0,3.6,0.0,0.0,False,True,False,False,False,False
54,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,False,False,False,False,False,False
55,1,1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.052,False,False,False,False,False,False
56,4,4,15,9,533.0,32.0,26.7,53.3,0.0,0.0,5.33,0.28,0.112,False,True,True,True,False,False
57,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False
58,1,2,3,2,257.0,18.0,0.0,3.1,0.0,0.0,10.0,0.0,0.0,False,True,False,False,False,False
59,5,5,3,24,679.0,75.0,35.0,0.6,0.6,0.0,0.5,0.885,0.354,False,True,False,False,False,False
60,1,3,1,1,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.0055,0.0022,False,False,False,False,False,False
61,1,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,0.0314,False,False,False,False,False,False
62,5,2,16,9,580.0,42.0,25.0,36.0,29.0,10.0,9.1,0.01,0.004,False,False,False,False,False,False
63,4,1,3,2,138.0,11.5,7.7,6.14,3.5,0.0,2.5,0.8,0.32,False,True,False,False,False,False
64,5,1,1,12,483.0,24.0,12.0,61.5,32.0,4.1,5.2,0.27,0.108,False,False,False,False,False,False
65,2,1,11,11,267.0,0.5,0.2,34.0,3.7,17.0,8.0,0.025,0.01,False,False,False,False,False,False
66,5,4,3,25,72.0,1.7,1.1,12.4,9.0,0.0,1.9,0.0,0.0,False,True,False,False,False,False
67,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3e-06,1.2e-06,False,False,False,False,False,False
68,3,3,1,26,1.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.04,False,False,False,False,False,False
69,6,4,1,21,68.0,0.4,0.0,7.6,4.4,2.0,1.6,1.0,0.4,False,False,False,False,False,False
70,6,4,1,7,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.008,False,False,False,False,False,False
71,5,4,17,12,443.0,12.4,7.14,73.8,23.8,2.38,7.62,0.899,0.36,True,True,False,False,False,False
72,3,4,1,14,81.0,0.337,0.0482,15.5,4.29,3.86,4.82,1.57,0.627,False,False,False,False,False,False
73,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0096,False,False,False,False,False,False
74,1,3,11,19,647.0,58.0,6.33,15.0,4.33,8.67,20.3,0.03,0.012,False,False,True,False,False,False
75,3,4,18,11,44.0,1.8,0.2,5.5,0.0,1.3,1.3,0.0875,0.035,True,False,False,False,False,False
76,4,2,13,11,61.0,3.0,0.3,7.1,3.4,0.8,1.1,0.0975,0.039,True,False,False,False,False,False
77,3,3,3,27,58.0,3.0,0.0,4.8,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False
78,6,4,14,28,635.0,70.0,0.0,0.7,0.0,0.0,1.0,0.7,0.28,False,False,False,True,False,False
79,1,2,19,29,336.0,1.5,0.4,62.0,1.0,19.0,9.0,1.0,0.4,True,False,False,False,False,False
80,5,2,20,30,566.0,41.0,24.0,35.0,30.0,2.4,9.5,0.02,0.008,False,False,False,False,False,False
81,6,4,14,6,532.0,60.0,21.0,0.2,0.0,5.0,0.2,0.0,0.0,False,False,False,True,False,False
82,7,5,1,31,1.0,0.0,0.0,0.15,0.15,0.7,0.0,0.0,0.0,False,False,False,False,False,False
83,6,1,3,2,137.0,7.0,4.8,11.7,7.2,0.0,7.0,0.5,0.2,False,True,False,False,False,False
84,5,4,15,32,544.0,32.0,5.7,54.0,51.0,3.6,8.1,0.12,0.048,False,True,True,True,False,False
85,5,4,16,32,551.0,34.0,5.2,53.0,51.0,3.3,6.7,0.1,0.04,False,True,True,False,False,False
