FoodID,FoodTypeID,HealthScoreID,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
1,1,1,69.0,1.5,0.1,17.6,5.3,8.55,20.0
2,2,2,68.0,0.52,0.15,16.2,6.6,2.58,14.0
3,2,3,603.0,20.8,53.0,21.2,9.72,0.78,0.996
4,3,3,371.0,13.6,7.02,65.2,6.7,1.69,4.0
5,2,2,156.8,12.6,9.79,4.57,1.4,2.27,381.0
6,1,2,113.0,1.17,0.15,29.3,4.1,4.88,3.0
7,3,2,357.0,0.3,0.1,88.2,3.4,3.52,2.0
8,4,2,51.0,2.89,0.34,11.4,5.7,0.99,296.0
9,4,2,53.0,2.89,0.34,12.0,5.7,0.99,60.0
10,4,2,188.0,3.11,0.5,9.18,4.6,0.84,289.0
11,4,2,188.0,3.11,0.5,9.18,4.6,0.84,53.0
12,4,2,38.0,2.63,0.43,7.75,3.9,2.27,47.0
13,4,1,197.0,3.27,0.15,10.5,5.4,0.99,94.0
14,1,2,160.0,2.0,14.7,8.53,6.7,0.66,7.0
15,1,2,181.0,1.96,15.4,8.64,6.8,0.3,8.0
16,1,1,120.0,2.23,10.1,7.82,5.6,2.42,2.0
17,3,2,391.0,12.5,0.87,83.2,0.0,12.5,313.0
18,2,3,389.8,13.2,6.6,69.4,6.6,13.2,33.0
19,3,2,405.8,8.7,3.0,86.0,6.5,0.72,12.0
20,2,3,374.0,25.4,6.5,57.6,7.1,0.78,104.0
21,2,3,391.0,10.7,4.6,77.1,7.8,6.68,0.0
22,2,3,394.0,11.0,6.36,73.5,7.3,11.7,21.0
23,2,3,395.8,10.9,6.42,73.6,7.0,12.3,23.0
24,2,2,391.0,13.5,7.0,69.3,3.7,0.78,47.0
25,5,2,81.0,12.0,2.52,2.43,0.0,0.0,41.0
26,5,2,80.4,12.0,2.52,2.43,0.0,0.0,41.0
27,5,2,188.0,14.6,14.4,1.5,0.2,1.4,267.0
28,5,2,142.4,14.0,9.6,0.0,0.0,0.0,49.0
29,5,2,126.3,13.7,7.9,0.1,0.0,0.0,49.0
30,2,2,97.0,11.3,3.8,3.7,0.0,0.0,44.0
31,2,2,94.2,11.3,3.8,3.7,0.0,0.0,44.0
32,2,2,112.0,15.2,5.2,0.0,0.0,0.0,42.0
33,2,2,94.0,14.1,3.41,0.85,0.0,0.0,43.0
34,5,2,124.0,14.0,7.1,0.0,0.0,0.0,42.0
35,2,2,188.0,13.7,14.2,1.4,0.2,1.4,295.0
36,2,2,107.4,11.5,6.2,1.4,0.0,0.0,49.0
37,2,2,111.0,11.5,6.2,1.4,0.0,0.0,49.0
38,2,2,80.5,13.1,2.45,1.51,0.0,0.0,39.0
39,1,3,402.0,10.5,7.05,74.1,7.8,11.1,0.0
40,2,2,64.0,3.9,0.8,10.3,3.9,4.13,48.0
41,2,2,397.0,10.8,2.0,82.2,2.3,3.08,269.0
42,2,2,476.0,32.0,25.9,28.6,10.2,0.0,1770.0
43,2,2,407.0,12.5,39.3,0.83,0.0,0.83,470.0
44,2,2,294.0,10.6,1.8,59.3,2.5,6.43,370.0
45,2,2,241.0,9.9,1.24,47.5,6.2,8.66,359.0
46,2,2,255.0,10.7,1.2,53.3,3.6,1.63,590.0
47,2,2,264.0,10.6,1.32,52.4,1.6,8.43,422.0
48,2,2,287.0,11.1,1.43,57.4,1.8,9.14,457.0
49,2,3,250.0,10.2,1.53,48.9,4.1,6.12,439.0
50,2,2,255.2,9.3,0.0,54.5,4.7,9.3,372.0
51,2,2,1980.0,12.1,47.7,36.2,18.1,0.0,12.0
52,2,2,642.0,14.3,52.3,28.4,16.6,0.91,24.0
53,1,1,1040.0,3.69,0.47,79.6,44.5,4.88,10.0
54,3,3,345.0,10.5,1.6,74.5,10.1,0.8,4.0
55,3,3,361.0,10.3,1.84,78.3,7.1,0.8,11.0
56,3,3,354.0,12.5,2.3,73.5,17.3,0.8,12.0
57,3,2,125.8,2.26,0.44,28.2,3.8,0.28,3.0
58,3,2,352.0,9.91,1.16,77.7,15.6,0.8,9.0
59,2,2,128.0,7.52,0.1,24.8,7.3,0.78,244.0
60,2,2,128.0,7.52,0.1,24.8,7.3,0.78,8.0
61,2,3,329.0,19.9,0.53,62.9,12.7,0.78,5.0
62,2,2,105.0,4.8,0.4,20.5,5.5,7.78,1.0
63,2,2,106.7,4.75,0.37,21.1,4.1,7.96,343.0
64,2,2,142.0,6.75,6.57,15.4,6.9,6.53,430.0
65,5,2,114.7,5.19,1.55,20.0,5.5,0.0,414.0
66,5,2,105.0,4.52,0.89,21.6,4.4,8.23,391.0
67,5,2,103.8,5.15,0.93,18.7,4.0,5.67,437.0
68,2,2,154.9,5.54,5.15,21.6,5.5,0.78,422.0
69,2,2,91.0,6.03,0.29,16.6,6.9,0.23,384.0
70,2,2,130.0,8.18,0.35,24.4,8.3,0.32,239.0
71,2,2,130.0,8.18,0.35,24.4,8.3,0.32,3.0
72,2,3,345.7,21.2,0.9,63.2,15.5,2.12,9.0
73,2,2,91.0,6.03,0.29,16.6,6.9,0.23,138.0
74,2,2,132.0,8.86,0.54,23.7,8.7,0.32,237.0
75,2,2,132.0,8.86,0.54,23.7,8.7,0.32,1.0
76,2,3,348.8,21.6,1.42,62.4,15.5,2.12,5.0
77,2,2,337.0,21.6,2.2,59.8,3.7,0.78,0.0
78,2,2,83.0,5.54,0.28,15.1,6.3,0.78,332.0
79,2,2,136.0,9.34,0.46,24.5,8.6,0.78,237.0
80,2,2,136.0,9.34,0.46,24.5,8.6,0.78,1.0
81,2,3,335.0,23.0,1.23,60.0,24.7,0.78,6.0
82,4,2,368.0,7.92,0.73,17.6,7.5,9.21,25.0
83,2,2,129.0,7.05,0.76,24.0,9.4,0.78,242.0
84,2,2,129.0,7.05,0.76,24.0,9.4,0.78,6.0
85,2,3,343.0,18.8,2.02,64.1,25.2,0.78,18.0
86,2,2,117.0,7.37,0.39,21.0,4.9,1.41,370.0
87,2,2,117.0,7.37,0.39,21.0,4.9,1.41,177.0
88,2,2,118.0,8.33,0.45,21.1,7.0,0.78,238.0
89,2,2,118.0,8.33,0.45,21.1,7.0,0.78,2.0
90,2,3,347.5,21.9,1.14,62.4,20.2,2.26,14.0
91,2,2,84.3,5.22,0.6,14.5,4.3,1.85,296.0
92,2,2,130.4,8.67,0.5,22.8,6.4,0.32,238.0
93,2,2,127.0,8.67,0.5,22.8,6.4,0.32,1.0
94,2,3,333.0,23.6,0.83,60.0,24.9,2.23,24.0
95,2,2,124.0,9.13,0.09,22.4,9.3,0.78,240.0
96,2,2,124.0,9.13,0.09,22.4,9.3,0.78,4.0
97,2,3,330.0,24.4,0.25,59.8,24.9,0.78,11.0
98,2,2,127.4,7.98,1.05,21.5,5.5,3.8,231.0
99,2,2,121.0,8.12,0.93,20.8,6.0,0.78,208.0
100,2,2,81.0,5.22,0.36,14.8,5.3,1.85,117.0
101,2,2,83.3,5.22,0.36,14.8,4.3,1.85,256.0
102,2,2,130.4,8.67,0.5,22.8,7.4,0.32,238.0
103,2,2,127.0,8.67,0.5,22.8,7.4,0.32,2.0
104,2,3,344.7,22.5,1.06,61.3,15.2,2.1,12.0
105,2,2,123.0,9.49,0.17,21.8,9.3,0.78,241.0
