food_name,calories,health_score,food_type,food_category,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
abiyuch raw,69.0,65,Fruits,Fruits and Fruit Juices,1.5,0.1,17.6,5.3,8.55,20.0
agave raw southwest,68.0,60,Other,American Indian/Alaska Native Foods,0.52,0.15,16.2,6.6,2.58,14.0
almond butter creamy,603.0,70,Other,Nut and Seed Products,20.8,53.0,21.2,9.72,5.56,0.996
almond butter creamy,603.0,60,Other,Nut and Seed Products,20.8,53.0,21.2,9.72,5.56,0.996
almond butter creamy,603.0,70,Other,Nut and Seed Products,20.8,53.0,21.2,9.72,5.56,0.996
almond butter creamy,603.0,60,Other,Nut and Seed Products,20.8,53.0,21.2,9.72,5.56,0.996
almond butter creamy,603.0,60,Other,Nut and Seed Products,20.8,53.0,21.2,9.72,5.56,0.996
amaranth grain uncooked,371.0,70,Grains,Cereal Grains and Pasta,13.6,7.02,65.2,6.7,1.69,4.0
applebees chili,156.8,60,Other,Restaurant Foods,12.6,9.79,4.57,1.4,2.27,381.0
apricots dried sulfured stewed with added sugar,113.0,60,Fruits,Fruits and Fruit Juices,1.17,0.15,29.3,4.1,10.4,3.0
arrowroot flour,357.0,60,Grains,Cereal Grains and Pasta,0.3,0.1,88.2,3.4,3.2,2.0
artichokes globe or french cooked boiled drained with salt,51.0,60,Vegetables,Vegetables and Vegetable Products,2.89,0.34,11.4,5.7,0.99,296.0
artichokes globe or french cooked boiled drained without salt,53.0,60,Vegetables,Vegetables and Vegetable Products,2.89,0.34,12.0,5.7,0.99,60.0
artichokes globe or french frozen cooked boiled drained with salt,188.0,60,Vegetables,Vegetables and Vegetable Products,3.11,0.5,9.18,4.6,0.84,289.0
artichokes globe or french frozen cooked boiled drained without salt,188.0,60,Vegetables,Vegetables and Vegetable Products,3.11,0.5,9.18,4.6,0.84,53.0
artichokes globe or french frozen unprepared,38.0,60,Vegetables,Vegetables and Vegetable Products,2.63,0.43,7.75,3.9,1.6,47.0
artichokes globe or french raw,197.0,65,Vegetables,Vegetables and Vegetable Products,3.27,0.15,10.5,5.4,0.99,94.0
avocados raw all commercial varieties,160.0,60,Fruits,Fruits and Fruit Juices,2.0,14.7,8.53,6.7,0.66,7.0
avocados raw california,181.0,60,Fruits,Fruits and Fruit Juices,1.96,15.4,8.64,6.8,0.3,8.0
avocados raw florida,120.0,65,Fruits,Fruits and Fruit Juices,2.23,10.1,7.82,5.6,2.42,2.0
babyfood baby mum mum rice biscuits,391.0,60,Grains,Baby Foods,12.5,0.87,83.2,0.0,12.5,313.0
babyfood cereal barley dry fortified,389.8,70,Other,Baby Foods,13.2,6.6,69.4,6.6,13.2,33.0
babyfood cereal brown rice dry instant,405.8,60,Grains,Baby Foods,8.7,3.0,86.0,6.5,0.72,12.0
