product_name,brands,nutriscore_grade,nova_group,allergens,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,category,subcategory
Sidi Ali,Sidi Ali,A,0,unknown,0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Perly,Perly,UNKNOWN,3,"banana, milk",97.0,3.0,5.1,9.4,3.6,0.0,8.0,0.14,0.056,False,True,False,False,False,False,Dairies,Fermented Milk Products
Sidi Ali,Sidi Ali,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.065,0.026,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Ice Tea Pche,Sidi Ali,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.065,0.026,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Aquafina,Aquafina,A,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.000203,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Lait,Jaouda,B,3,milk,45.0,1.5,1.0,4.9,0.0,0.0,3.1,0.225,0.09,False,True,False,False,False,False,Dairies,Milks Liquid And Powder
Eau De Source,Cristaline,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.0011,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Fromage Blanc Nature,Milky Food Professional,A,3,milk,80.6,12.0,0.0,6.1,0.0,0.0,7.3,0.0,0.0,False,True,False,False,False,False,Dairies,Fermented Milk Products
Uht Jaouda L,Jaouda,B,1,milk,58.0,3.0,0.0,4.8,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False,Dairies,Milks
Jben,Jaouda,D,4,milk,235.0,21.0,15.0,3.5,0.0,0.0,8.0,0.46,0.184,False,True,False,False,False,False,Dairies,Fermented Milk Products
Ain Sass,Danone,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Natural Mineral Water,Ain Atlas,A,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
